time,side,price,qty,fee_paid,pnl,reason,regime
2024-08-02 19:00:00,buy,556.6,0.05389867049946101,0.03,0.0,BUY_MAIN,LATERAL
2024-08-02 22:00:00,sell,542.4,0.05389867049946101,0.02923463887890765,-0.7945957599712585,STOP_LOSS,LATERAL
2024-08-03 00:00:00,buy,542.9,0.055213229189907655,0.029975262127200863,0.0,BUY_MAIN,LATERAL
2024-08-03 00:00:00,sell,533.8,0.055213229189907655,0.029472821741572706,-0.5319132073697297,STOP_LOSS,LATERAL
2024-08-03 05:00:00,buy,540.7,0.05540670514724608,0.029958405473115957,0.0,BUY_MAIN,LATERAL
2024-08-03 12:00:00,buy,541.4,0.05367335529508364,0.02905875455675828,0.0,BUY_MAIN,LATERAL
2024-08-03 15:00:00,sell,532.0,0.05540670514724608,0.029476367138334913,-0.5115147019193813,STOP_LOSS,LATERAL
2024-08-03 15:00:00,sell,532.0,0.05367335529508364,0.028554225016984496,-0.5330837647907707,STOP_LOSS,LATERAL
2024-08-03 21:00:00,buy,524.4,0.05706578376108649,0.02992529700431375,0.0,BUY_MAIN,LATERAL
2024-08-04 02:00:00,buy,529.4,0.05482931684033664,0.029026640335274214,0.0,BUY_MAIN,LATERAL
2024-08-04 07:00:00,buy,528.0,0.053323807435617286,0.02815497032600593,0.0,BUY_MAIN,LATERAL
2024-08-04 12:00:00,buy,525.7,0.05194878555662158,0.027309476567115964,0.0,BUY_MAIN,LATERAL
2024-08-04 14:00:00,sell,508.6,0.05706578376108649,0.02902365762088859,-0.9306630410460528,STOP_LOSS,LATERAL
2024-08-04 14:00:00,sell,508.6,0.05482931684033664,0.027886190544995217,-1.16833598082399,STOP_LOSS,LATERAL
2024-08-04 14:00:00,sell,508.6,0.053323807435617286,0.027120488461754952,-1.061602352712729,STOP_LOSS,LATERAL
2024-08-04 14:00:00,sell,508.6,0.05194878555662158,0.02642115233409774,-0.914745385352326,STOP_LOSS,LATERAL
2024-08-04 18:00:00,buy,495.2,0.06017690652259434,0.029799604109988716,0.0,BUY_DCA(-6.11%),LATERAL
2024-08-05 00:00:00,sell,476.9,0.06017690652259434,0.02869836672062524,-1.1299357560841052,STOP_LOSS,LATERAL
2024-08-05 01:00:00,buy,477.0,0.0624000252603415,0.0297648120491829,0.0,BUY_DCA(-6.09%),LATERAL
2024-08-05 01:00:00,sell,453.0,0.0624000252603415,0.028267211442934703,-1.525867817691129,STOP_LOSS,LATERAL
2024-08-05 06:00:00,buy,433.5,0.06855396325326572,0.029718143070290692,0.0,BUY_DCA(-9.12%),LATERAL
2024-08-05 06:00:00,sell,422.8,0.06855396325326572,0.02898461566348075,-0.7625120224734232,STOP_LOSS,LATERAL
2024-08-05 11:00:00,buy,431.7,0.0687847490510178,0.029694376165324384,0.0,BUY_MAIN,LATERAL
2024-08-05 12:00:00,sell,412.8,0.0687847490510178,0.028394344408260146,-1.3284261014724947,STOP_LOSS,LATERAL
