timestamp,close,usdt,positions,equity,peak,drawdown
2024-08-01 00:00:00,576.8,1000.0,0,1000.0,1000.0,0.0
2024-08-01 01:00:00,573.3,1000.0,0,1000.0,1000.0,0.0
2024-08-01 02:00:00,571.6,1000.0,0,1000.0,1000.0,0.0
2024-08-01 03:00:00,569.9,1000.0,0,1000.0,1000.0,0.0
2024-08-01 04:00:00,564.1,1000.0,0,1000.0,1000.0,0.0
2024-08-01 05:00:00,570.7,1000.0,0,1000.0,1000.0,0.0
2024-08-01 06:00:00,568.0,1000.0,0,1000.0,1000.0,0.0
2024-08-01 07:00:00,568.9,1000.0,0,1000.0,1000.0,0.0
2024-08-01 08:00:00,570.0,1000.0,0,1000.0,1000.0,0.0
2024-08-01 09:00:00,570.2,1000.0,0,1000.0,1000.0,0.0
2024-08-01 10:00:00,571.6,1000.0,0,1000.0,1000.0,0.0
2024-08-01 11:00:00,572.3,1000.0,0,1000.0,1000.0,0.0
2024-08-01 12:00:00,574.6,1000.0,0,1000.0,1000.0,0.0
2024-08-01 13:00:00,573.3,1000.0,0,1000.0,1000.0,0.0
2024-08-01 14:00:00,566.3,1000.0,0,1000.0,1000.0,0.0
2024-08-01 15:00:00,558.9,1000.0,0,1000.0,1000.0,0.0
2024-08-01 16:00:00,557.9,1000.0,0,1000.0,1000.0,0.0
2024-08-01 17:00:00,559.6,1000.0,0,1000.0,1000.0,0.0
2024-08-01 18:00:00,556.0,1000.0,0,1000.0,1000.0,0.0
2024-08-01 19:00:00,561.0,1000.0,0,1000.0,1000.0,0.0
2024-08-01 20:00:00,570.7,1000.0,0,1000.0,1000.0,0.0
2024-08-01 21:00:00,572.5,1000.0,0,1000.0,1000.0,0.0
2024-08-01 22:00:00,575.8,1000.0,0,1000.0,1000.0,0.0
2024-08-01 23:00:00,575.1,1000.0,0,1000.0,1000.0,0.0
2024-08-02 00:00:00,575.0,1000.0,0,1000.0,1000.0,0.0
2024-08-02 01:00:00,569.9,1000.0,0,1000.0,1000.0,0.0
2024-08-02 02:00:00,568.3,1000.0,0,1000.0,1000.0,0.0
2024-08-02 03:00:00,572.0,1000.0,0,1000.0,1000.0,0.0
2024-08-02 04:00:00,573.0,1000.0,0,1000.0,1000.0,0.0
2024-08-02 05:00:00,568.0,1000.0,0,1000.0,1000.0,0.0
2024-08-02 06:00:00,570.5,1000.0,0,1000.0,1000.0,0.0
2024-08-02 07:00:00,570.7,1000.0,0,1000.0,1000.0,0.0
2024-08-02 08:00:00,571.9,1000.0,0,1000.0,1000.0,0.0
2024-08-02 09:00:00,571.7,1000.0,0,1000.0,1000.0,0.0
2024-08-02 10:00:00,573.1,1000.0,0,1000.0,1000.0,0.0
2024-08-02 11:00:00,573.4,1000.0,0,1000.0,1000.0,0.0
2024-08-02 12:00:00,573.0,1000.0,0,1000.0,1000.0,0.0
2024-08-02 13:00:00,574.3,1000.0,0,1000.0,1000.0,0.0
2024-08-02 14:00:00,559.3,1000.0,0,1000.0,1000.0,0.0
2024-08-02 15:00:00,558.9,1000.0,0,1000.0,1000.0,0.0
2024-08-02 16:00:00,556.8,1000.0,0,1000.0,1000.0,0.0
2024-08-02 17:00:00,558.1,1000.0,0,1000.0,1000.0,0.0
2024-08-02 18:00:00,556.6,1000.0,0,1000.0,1000.0,0.0
2024-08-02 19:00:00,555.1,969.97,1,999.8891519942508,1000.0,-0.00011084800574917608
2024-08-02 20:00:00,555.4,969.97,1,999.9053215954007,1000.0,-9.46784045993354e-05
2024-08-02 21:00:00,549.9,969.97,1,999.6088789076537,1000.0,-0.0003911210923463386
2024-08-02 22:00:00,542.4,999.1754042400288,0,999.1754042400288,1000.0,-0.0008245957599712028
2024-08-02 23:00:00,542.9,999.1754042400288,0,999.1754042400288,1000.0,-0.0008245957599712028
2024-08-03 00:00:00,533.8,998.6135157705319,0,998.6135157705319,1000.0,-0.0013864842294681239
