fecha|nivel|trade_type|price|amount|profit|volatility|rsi|stochrsi_k|stochrsi_d|description
2025-02-26 15:04:19,216|INFO|sell|84308.84|0.00368|-38.06010559999999|0.6625916017463854|22.696378076720777|0.004177625032809319|0.031432333989307476|STOP LOSS
2025-02-26 15:04:19,587|INFO|sell|84308.84|0.0035|-35.847420000000035|0.6625916017463854|22.696378076720777|0.004177625032809319|0.031432333989307476|STOP LOSS
2025-02-26 15:04:19,945|INFO|sell|84308.84|0.00334|-32.908452200000006|0.6625916017463854|22.696378076720777|0.004177625032809319|0.031432333989307476|STOP LOSS
2025-02-26 15:04:20,313|INFO|sell|84308.84|0.00317|-32.031074800000006|0.6625916017463854|22.696378076720777|0.004177625032809319|0.031432333989307476|STOP LOSS
2025-02-26 15:04:20,683|INFO|sell|84308.84|0.00301|-29.991459400000007|0.6625916017463854|22.696378076720777|0.004177625032809319|0.031432333989307476|STOP LOSS
2025-02-26 16:36:23,592|INFO|sell|83377.99|0.00291|-27.078655799999968|2.708868886171715|19.5759348564182|0.0|0.0002933933699204658|STOP LOSS
2025-02-26 17:07:25,707|INFO|buy|84139.35|0.00304|0|0.676206999258227|25.647048665619934|0.09942505151055812|0.051019222471273905|BUY
2025-02-26 17:38:27,255|INFO|buy|84072.0|0.00289|0|1.2597986579727576|25.395688627035653|0.09687087915657627|0.05016783168661328|BUY
2025-02-26 18:09:28,224|INFO|buy|85183.09|0.00271|0|51.92483589463711|36.03130437122328|0.23272678331272914|0.12682373078282158|BUY
2025-02-26 18:40:29,220|INFO|buy|84377.36|0.0026|0|51.99741839273003|27.625417381567914|0.15458565362524565|0.10077668755366043|BUY
2025-02-26 19:11:30,840|INFO|buy|84425.79|0.00247|0|0.4312025861022426|28.172020946706567|0.17081236345543824|0.1425384115193288|BUY
2025-02-26 19:42:32,400|INFO|buy|84024.57|0.00236|0|0.9831475810954986|26.21454655161918|0.1525986340111627|0.13646716837123696|BUY
2025-02-26 20:13:33,955|INFO|buy|84457.98|0.00223|0|0.6133499170123285|30.480034510420097|0.20470663143955747|0.1692605271183426|BUY
2025-02-26 20:44:35,651|INFO|buy|84633.82|0.00211|0|0.8735406206125939|32.56493286336588|0.2282691974057731|0.17711471577374782|BUY
2025-02-26 21:15:37,221|INFO|buy|84680.96|0.00201|0|0.9396922090943082|33.52842827937849|0.36577982357766897|0.2533712500568918|BUY
2025-02-26 21:46:38,827|INFO|buy|84876.18|0.0019|0|1.8400132896731112|35.37123977325095|0.3940369070679604|0.262790277886989|BUY
2025-02-26 22:17:40,953|INFO|buy|84863.29|0.00181|0|0.7589196946206215|34.518632280178096|0.5914037217999885|0.41951454684986306|BUY
